GROUP,GROUPDesc,LQTYPE,LQTYPEDesc,freq,period,sv,svDesc,figure,sd_value
S6,Durable goods,1,Public housing,Y,2014,HOUSE_EXPD,HK$,380,
S6,Durable goods,2,Subsidised housing,Y,2014,HOUSE_EXPD,HK$,751,
S6,Durable goods,3,Private housing,Y,2014,HOUSE_EXPD,HK$,1246,
S7,Miscellaneous goods,,Total,Y,2014,HOUSE_EXPD,HK$,1038,
S7,Miscellaneous goods,1,Public housing,Y,2014,HOUSE_EXPD,HK$,664,
S7,Miscellaneous goods,2,Subsidised housing,Y,2014,HOUSE_EXPD,HK$,939,
S7,Miscellaneous goods,3,Private housing,Y,2014,HOUSE_EXPD,HK$,1294,
S8,Transport,,Total,Y,2014,HOUSE_EXPD,HK$,2081,
S8,Transport,1,Public housing,Y,2014,HOUSE_EXPD,HK$,1049,
S8,Transport,2,Subsidised housing,Y,2014,HOUSE_EXPD,HK$,1636,
S8,Transport,3,Private housing,Y,2014,HOUSE_EXPD,HK$,2849,
S9,Miscellaneous services,,Total,Y,2014,HOUSE_EXPD,HK$,4323,
S9,Miscellaneous services,1,Public housing,Y,2014,HOUSE_EXPD,HK$,2065,
S9,Miscellaneous services,2,Subsidised housing,Y,2014,HOUSE_EXPD,HK$,3449,
S9,Miscellaneous services,3,Private housing,Y,2014,HOUSE_EXPD,HK$,5967,
S1,Food,,Total,Y,2019,HOUSE_EXPD,HK$,8107,
S1,Food,1,Public housing,Y,2019,HOUSE_EXPD,HK$,7080,
S1,Food,2,Subsidised housing,Y,2019,HOUSE_EXPD,HK$,7821,
S1,Food,3,Private housing,Y,2019,HOUSE_EXPD,HK$,8654,
S2,Housing,,Total,Y,2019,HOUSE_EXPD,HK$,11865,
S2,Housing,1,Public housing,Y,2019,HOUSE_EXPD,HK$,1777,
S2,Housing,2,Subsidised housing,Y,2019,HOUSE_EXPD,HK$,11184,
S2,Housing,3,Private housing,Y,2019,HOUSE_EXPD,HK$,16670,
S3,"Electricity, gas and water",,Total,Y,2019,HOUSE_EXPD,HK$,688,
S3,"Electricity, gas and water",1,Public housing,Y,2019,HOUSE_EXPD,HK$,575,
S3,"Electricity, gas and water",2,Subsidised housing,Y,2019,HOUSE_EXPD,HK$,678,
S3,"Electricity, gas and water",3,Private housing,Y,2019,HOUSE_EXPD,HK$,742,
S4,Alcoholic drinks and tobacco,,Total,Y,2019,HOUSE_EXPD,HK$,157,
S4,Alcoholic drinks and tobacco,1,Public housing,Y,2019,HOUSE_EXPD,HK$,175,
S4,Alcoholic drinks and tobacco,2,Subsidised housing,Y,2019,HOUSE_EXPD,HK$,126,
S4,Alcoholic drinks and tobacco,3,Private housing,Y,2019,HOUSE_EXPD,HK$,158,
S5,Clothing and footwear,,Total,Y,2019,HOUSE_EXPD,HK$,748,
S5,Clothing and footwear,1,Public housing,Y,2019,HOUSE_EXPD,HK$,525,
S5,Clothing and footwear,2,Subsidised housing,Y,2019,HOUSE_EXPD,HK$,631,
S5,Clothing and footwear,3,Private housing,Y,2019,HOUSE_EXPD,HK$,881,
S6,Durable goods,,Total,Y,2019,HOUSE_EXPD,HK$,1312,
S6,Durable goods,1,Public housing,Y,2019,HOUSE_EXPD,HK$,824,
S6,Durable goods,2,Subsidised housing,Y,2019,HOUSE_EXPD,HK$,1130,
S6,Durable goods,3,Private housing,Y,2019,HOUSE_EXPD,HK$,1585,
S7,Miscellaneous goods,,Total,Y,2019,HOUSE_EXPD,HK$,1062,
S7,Miscellaneous goods,1,Public housing,Y,2019,HOUSE_EXPD,HK$,840,
S7,Miscellaneous goods,2,Subsidised housing,Y,2019,HOUSE_EXPD,HK$,1101,
S7,Miscellaneous goods,3,Private housing,Y,2019,HOUSE_EXPD,HK$,1154,
S8,Transport,,Total,Y,2019,HOUSE_EXPD,HK$,2033,
S8,Transport,1,Public housing,Y,2019,HOUSE_EXPD,HK$,1037,
S8,Transport,2,Subsidised housing,Y,2019,HOUSE_EXPD,HK$,1616,
S8,Transport,3,Private housing,Y,2019,HOUSE_EXPD,HK$,2601,
S9,Miscellaneous services,,Total,Y,2019,HOUSE_EXPD,HK$,4257,
S9,Miscellaneous services,1,Public housing,Y,2019,HOUSE_EXPD,HK$,2185,
S9,Miscellaneous services,2,Subsidised housing,Y,2019,HOUSE_EXPD,HK$,3343,
S9,Miscellaneous services,3,Private housing,Y,2019,HOUSE_EXPD,HK$,5451,
