GROUP,GROUPDesc,freq,period,sv,svDesc,figure,sd_value
,Total,Y,2022,CC_CM_1920,Index,103.3,
S1,Food,Y,2022,CC_CM_1920,Index,105.9,
S2,Housing,Y,2022,CC_CM_1920,Index,100.7,
S3,"Electricity, gas and water",Y,2022,CC_CM_1920,Index,124.7,
S4,Alcoholic drinks and tobacco,Y,2022,CC_CM_1920,Index,101.6,
S5,Clothing and footwear,Y,2022,CC_CM_1920,Index,107.2,
S6,Durable goods,Y,2022,CC_CM_1920,Index,101.2,
S7,Miscellaneous goods,Y,2022,CC_CM_1920,Index,98.1,
S8,Transport,Y,2022,CC_CM_1920,Index,104.8,
S9,Miscellaneous services,Y,2022,CC_CM_1920,Index,102.2,
,Total,Y,2023,CC_CM_1920,Index,105.5,
S1,Food,Y,2023,CC_CM_1920,Index,108.7,
S2,Housing,Y,2023,CC_CM_1920,Index,101.7,
S3,"Electricity, gas and water",Y,2023,CC_CM_1920,Index,136.7,
S4,Alcoholic drinks and tobacco,Y,2023,CC_CM_1920,Index,118.9,
S5,Clothing and footwear,Y,2023,CC_CM_1920,Index,113.4,
S6,Durable goods,Y,2023,CC_CM_1920,Index,98.8,
S7,Miscellaneous goods,Y,2023,CC_CM_1920,Index,99.7,
S8,Transport,Y,2023,CC_CM_1920,Index,106.8,
S9,Miscellaneous services,Y,2023,CC_CM_1920,Index,104.9,
,Total,Y,2024,CC_CM_1920,Index,107.3,
S1,Food,Y,2024,CC_CM_1920,Index,110.4,
S2,Housing,Y,2024,CC_CM_1920,Index,103.8,
S3,"Electricity, gas and water",Y,2024,CC_CM_1920,Index,136.3,
S4,Alcoholic drinks and tobacco,Y,2024,CC_CM_1920,Index,142.2,
S5,Clothing and footwear,Y,2024,CC_CM_1920,Index,112.9,
S6,Durable goods,Y,2024,CC_CM_1920,Index,97.8,
S7,Miscellaneous goods,Y,2024,CC_CM_1920,Index,100.9,
S8,Transport,Y,2024,CC_CM_1920,Index,108.9,
S9,Miscellaneous services,Y,2024,CC_CM_1920,Index,107.3,
,Total,Y,2025,CC_CM_1920,Index,108.9,
S1,Food,Y,2025,CC_CM_1920,Index,111.1,
S2,Housing,Y,2025,CC_CM_1920,Index,105.8,
S3,"Electricity, gas and water",Y,2025,CC_CM_1920,Index,144.1,
S4,Alcoholic drinks and tobacco,Y,2025,CC_CM_1920,Index,148.7,
S5,Clothing and footwear,Y,2025,CC_CM_1920,Index,108.9,
S6,Durable goods,Y,2025,CC_CM_1920,Index,95.7,
S7,Miscellaneous goods,Y,2025,CC_CM_1920,Index,101.8,
S8,Transport,Y,2025,CC_CM_1920,Index,111.9,
S9,Miscellaneous services,Y,2025,CC_CM_1920,Index,109.1,
,Total,Y,1999,B_CM_1920,Index,74.0,
S1,Food,Y,1999,B_CM_1920,Index,57.6,
S2,Housing,Y,1999,B_CM_1920,Index,73.7,
S3,"Electricity, gas and water",Y,1999,B_CM_1920,Index,88.2,
S4,Alcoholic drinks and tobacco,Y,1999,B_CM_1920,Index,61.0,
S5,Clothing and footwear,Y,1999,B_CM_1920,Index,96.7,
S6,Durable goods,Y,1999,B_CM_1920,Index,248.6,
S7,Miscellaneous goods,Y,1999,B_CM_1920,Index,64.7,
S8,Transport,Y,1999,B_CM_1920,Index,78.7,
S9,Miscellaneous services,Y,1999,B_CM_1920,Index,80.1,
,Total,Y,2000,B_CM_1920,Index,71.1,
S1,Food,Y,2000,B_CM_1920,Index,56.4,
S2,Housing,Y,2000,B_CM_1920,Index,67.6,
S3,"Electricity, gas and water",Y,2000,B_CM_1920,Index,91.2,
S4,Alcoholic drinks and tobacco,Y,2000,B_CM_1920,Index,60.3,
S5,Clothing and footwear,Y,2000,B_CM_1920,Index,84.9,
S6,Durable goods,Y,2000,B_CM_1920,Index,235.8,
S7,Miscellaneous goods,Y,2000,B_CM_1920,Index,65.3,
S8,Transport,Y,2000,B_CM_1920,Index,79.2,
S9,Miscellaneous services,Y,2000,B_CM_1920,Index,79.8,
,Total,Y,2001,B_CM_1920,Index,69.9,
S1,Food,Y,2001,B_CM_1920,Index,55.9,
S2,Housing,Y,2001,B_CM_1920,Index,65.7,
S3,"Electricity, gas and water",Y,2001,B_CM_1920,Index,89.6,
