"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bangladesh","BGD","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","86.2247230335863","86.8352922913092","81.7578446122173","84.8756055455534","83.7577591192366","","","","","","","","","","","","","","","","","80.7697654738878","80.7867495939383","83.6420955517686","88.8782950439832","81.4549779969926","80.587580619729","81.7583794784922","82.0559169867292","80.5627924445796","80.0404603729271","81.2904893597465","81.684367438001","82.746877697313","82.0129894265772","82.2433238502068","78.8521134250216","77.9569929010812","76.2386093679149","76.2326634048507","75.0081004560836","74.5228378132541","74.1384127040694","74.6860790732206","73.6377036948139","73.7640610844816","73.1233082071871","73.8931599871735","75.6323110754527","74.5738412555998","74.1146503135208","74.2804696467287","73.7368948512655","72.8477739817049","72.5725369181701","72.437289480297","66.8644422199967","66.9119168068661","67.5896517648341","66.8774290144586","66.9511902559287","68.7754335127158","69.0766062753121","68.5753162931573","70.1347461260411","",
"Bulgaria","BGR","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","55.3348067155209","48.6612984398591","49.793540826526","50.9216960817854","49.781345020192","51.6341313011385","50.6120765284483","52.0602880269796","49.5891261204169","52.0940291870477","59.8339744352355","54.1090641120118","65.6150398406375","73.4901304784209","74.0353881278539","57.5067199612441","73.820365326575","65.4408121915746","56.1086495794148","65.1251834050129","66.4767351896257","68.5992062139716","68.2678288512932","67.9952304049213","68.3553554151463","68.7618414011541","66.8884296493932","68.5279295424825","65.6590646520218","62.9773672882881","64.1640253414988","62.633518327148","65.6007258125291","62.4701077789796","62.8058444101281","62.0747366798589","60.5323571961446","60.251810799351","59.6831260337739","59.1213480112659","57.9966189821744","57.9147269907472","57.9186048337097","57.6453672325702","57.2991475801064","",
"Bahrain","BHR","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","28.120658360741","28.8477910845047","30.3397944342751","30.1587444087091","30.0760254277042","26.0681277979115","28.3678060819722","30.954288519564","33.0596233010136","34.9981192978949","33.7761590172011","51.5760462174881","51.9633480918103","49.4942536469852","45.8552542664397","46.6362556001094","47.1796710969737","47.0510690874513","50.2123443162009","48.6945934729179","44.6639179493199","46.8348617057525","45.0997460606128","42.9136458275798","47.5685919190367","39.7334217153212","34.7271188121516","31.6130753639933","34.4865681213989","40.9096126621348","41.1678164112689","40.449631576327","39.1192587267354","41.7716835842067","41.6956389054394","46.7183091335507","47.4829357080963","42.5231706889909","41.5249476392634","38.6105917937927","40.7009302446391","37.9501703577513","36.9365501354455","38.8675079699844","39.9340503107048","",
"Bahamas, The","BHS","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","55.6521739130435","58.0850552618933","65.8887466319752","61.7014903018048","62.3133543638275","59.0635493885827","57.3811172668513","65.4353044926755","62.8517241716605","63.5267947421638","63.6588085356967","","62.5251469627694","62.8256475047378","65.9268568636779","64.5972981666131","66.6830530401035","65.3899969315741","68.0638670166229","69.6381269049598","59.3554377830698","60.533686900173","58.0137352662135","57.2911185208389","60.541030533204","56.7504695332592","57.9069659947081","58.4840463419725","59.4294544641223","61.5318793183998","60.4152814846765","61.2549876496295","60.591306717318","61.6823300078449","62.9693807128778","63.5666579605239","64.4668887764551","64.4926430322019","63.6784483341218","64.4193621695326","66.526605018117","66.0704256115826","60.3758379151917","63.1552030260923","66.6827282545485","62.1344482182949","63.3960435588326","64.2987974331767","",
"Bosnia and Herzegovina","BIH","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.969112995775","101.192011656569","97.8294242606788","97.9792098129238","97.5130813587349","95.2303011613029","90.2110202259987","87.2194395435849","86.0450707137698","86.3603624513017","85.9297426796689","85.9903503689605","87.543260307903","86.6126322900374","86.1722141473005","82.1467132299168","79.3033131151759","77.3643056127143","74.8987452097713","73.4953095859812","73.4622670561229","69.8254112441096","69.0565404337215","69.7123214884356","69.1890503480836","",
"Belarus","BLR","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.3441108545035","44.4444444444444","51.0869565217391","56.243654822335","59.3885235766875","59.0875019562943","60.0044829257867","57.0599460240438","57.8467046731448","58.6432739029974","56.9105958089733","57.6243798476696","59.4912446486573","57.1303548768214","53.7264111314256","51.9878709824166","51.4755194469325","51.8110889381291","51.9572265522672","56.2094230962768","55.6450619420435","48.7055281615649","48.0516207778178","51.2563582050385","52.8271849571236","52.8773445300352","54.5097894659238","54.4559623709907","53.5532706505984","53.9636805185995","52.2355611244396","50.8713866541534","53.4308690468202","53.9328069587877","56.7998368120273","",
"Belize","BLZ","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","37.4815359362859","39.5414251198466","40.2376296519815","37.1496847224871","32.1937781987257","35.1458022972503","31.1139314606742","31.996366882242","33.0027674694507","33.3494185501934","35.9899932591305","36.875959577135","57.7838611385858","56.2882022143684","59.0404527893159","59.6967163974895","61.108474254565","67.1366679533502","68.1131363644681","66.5600844162232","63.4551290392616","66.5068576922996","68.2791560705598","68.5905752991379","66.2932955387866","64.4083348391343","60.556903206368","59.9332653631955","61.8879560547374","62.0480384404679","62.3229776709783","61.5172053673756","61.7678311873218","63.4247996668815","62.7949256637064","61.3905443181524","60.9746241184187","60.5394151639548","61.9298516801838","61.9790538575107","62.88580004949","62.9810266691029","64.4543489157529","63.6731418529184","64.285126336928","",
"Bermuda","BMU","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.8157294130734","49.4894807935316","48.7606511441808","48.4947777181818","48.9972073536776","48.6544150828735","48.8186441825119","49.1850822618322","48.7763108019857","48.1756565161956","47.7450589223976","47.1589376021","47.0420976582159","45.4604148012144","43.7933200485185","",
"Bolivia","BOL","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","84.0142889037732","86.4942528735632","84.7756711094425","83.873779637378","78.0597245861055","76.7409470752089","77.3584905660377","78.3383450272859","75.6671899529042","75.153929735603","73.6881311041218","75.8297480024585","72.6076555023923","70.3387147831592","67.5296245181554","72.7752608171578","72.1824866921543","71.9855685108623","70.1311135342145","67.3229132025274","67.2790515823439","70.3458348908363","72.9137197461115","73.4557541499144","69.1838021508209","73.767318937795","81.3769336825733","79.7279557102824","79.0040635843253","77.1300366688643","76.8618900159952","77.8337755554357","79.4444977438454","79.3713829960938","77.5951259309033","75.8185206399828","75.1280623180225","74.7129587471227","75.058410650456","76.8367133678566","76.3655068659311","75.2909592856051","73.8187865729616","71.013153649187","67.9072457083634","66.317476235604","62.7748561277962","63.225290583415","62.2237940773414","65.5017984494668","62.2984770586766","60.704337756064","59.5037489087001","60.1867073015698","62.9374499091372","68.4197180714301","68.9094094156792","66.926497663396","66.1083309510345","66.9084294249163","67.8979256717596","65.7885527300756","67.5130464190653","68.9661157909804","69.6270407426053","",
"Brazil","BRA","Households and NPISHs final consumption expenditure (% of GDP)","NE.CON.PRVT.ZS","59.0185802565624","56.4982431573744","72.5702610389223","67.153898455678","69.7929931985821","64.911395459986","65.1837920100397","70.4051549622492","70.4459043903812","67.2823634517153","68.553527382327","70.060580717471","69.7853136639389","64.0554543663932","67.7372855305859","63.6632017958648","68.5394929120066","69.0929041463132","68.7390208983017","70.6875640463586","69.0129240237437","69.4376564143566","72.2237189544003","76.370554631571","78.077607831576","69.5399225516596","70.8507784741093","64.6901599421199","63.7511787320173","54.1297339876757","59.30250099302","61.5681916199449","61.519195929598","60.0823989919866","59.6373274826595","63.7064387034821","65.1573992180331","65.3096296924712","64.1423007575455","64.6801194429279","64.592700334996","64.1077083717905","61.8984350316753","61.8446504182357","60.2065771889843","60.5042518087493","60.4376764599152","59.8749475681574","59.7307926659687","61.9564599036284","60.222829167075","60.273851764513","61.4118668338092","61.7152500840621","62.9595707089436","63.9647972770297","64.251479591816","64.4943063386786","64.6160749707063","65.1440473990512","63.1440009053458","61.3679966404762","63.0641028050884","62.9243232230086","63.9563266718107","",
